,movie,year,imdb,metaScore,votes,usGrossMillions,timeMin
222,Mad Max: Fury Road,2015,8.1,90.0,900752,154.06,120
223,Warrior,2011,8.1,71.0,441962,13.66,140
224,A Wednesday,2008,8.1,,74595,,104
225,Gran Torino,2008,8.1,72.0,729255,148.1,116
226,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85.0,780976,381.01,130
227,Departures,2008,8.1,68.0,49240,1.5,130
228,Hachi: A Dog's Tale,2009,8.1,,259297,,93
229,Mary and Max,2009,8.1,,166917,,92
230,How to Train Your Dragon,2010,8.1,75.0,677839,217.58,98
231,Into the Wild,2007,8.1,73.0,583033,18.35,148
232,No Country for Old Men,2007,8.1,91.0,875364,74.28,122
233,V for Vendetta,2005,8.1,62.0,1047410,70.51,132
234,Nobody Knows,2004,8.1,88.0,25456,0.68,141
235,Rang De Basanti,2006,8.1,,113795,2.2,167
236,Million Dollar Baby,2004,8.1,86.0,645047,100.49,132
237,Hotel Rwanda,2004,8.1,79.0,338238,23.53,121
238,Before Sunset,2004,8.1,90.0,241268,5.82,80
239,Munna Bhai M.B.B.S.,2003,8.1,,75049,,156
240,Memories of Murder,2003,8.1,82.0,147297,0.01,132
241,Dil Chahta Hai,2001,8.1,,67628,0.3,183
242,Kill Bill: Vol. 1,2003,8.1,69.0,1017551,70.1,111
243,Finding Nemo,2003,8.1,90.0,963690,380.84,100
244,Catch Me If You Can,2002,8.1,75.0,854553,164.62,141
245,Amores Perros,2000,8.1,83.0,226834,5.38,154
246,"Monsters, Inc.",2001,8.1,79.0,829325,289.92,92
247,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,,41456,,87
248,Lagaan: Once Upon a Time in India,2001,8.1,84.0,106370,0.07,224
249,The Sixth Sense,1999,8.1,64.0,922976,293.51,107
250,The Celebration,1998,8.1,82.0,79951,1.65,105
251,The Legend of 1900,1998,8.1,58.0,59961,0.26,169
252,The Truman Show,1998,8.1,90.0,960846,125.62,103
253,"Black Cat, White Cat",1998,8.1,73.0,51506,0.35,127
254,The Big Lebowski,1998,8.1,71.0,744496,17.5,117
255,In the Mood for Love,2000,8.1,85.0,129636,2.73,98
256,Trainspotting,1996,8.1,83.0,642861,16.5,93
257,Fargo,1996,8.1,85.0,628352,24.61,98
258,Underground,1995,8.1,,55827,0.17,167
259,La Haine,1995,8.1,,154587,0.31,98
260,Dilwale Dulhania Le Jayenge,1995,8.1,,64419,,181
261,Before Sunrise,1995,8.1,77.0,278475,5.54,101
262,Three Colors: Red,1994,8.1,100.0,92992,4.04,99
263,Chungking Express,1994,8.1,77.0,66785,0.6,102
264,Andaz Apna Apna,1994,8.1,,49897,,160
265,Jurassic Park,1993,8.1,68.0,883327,402.45,127
266,In the Name of the Father,1993,8.1,84.0,161189,25.01,133
267,Farewell My Concubine,1993,8.1,,25658,5.22,171
268,Raise the Red Lantern,1991,8.1,,30169,2.6,125
269,Dead Poets Society,1989,8.1,79.0,436392,95.86,128
